Agent,Mean_Diff,Pct_Improvement,t_statistic,p_value,cohens_d,effect_size,significant_bonferroni,significant_uncorrected
dqn_sharpe60,82693.15641609346,3.943339678611668,1.4877284814623413,0.17513988287147056,0.9409221082649178,large,True,False
equal_weight,-55356.96847106912,-2.6397750396807806,-1.643941826927174,0.13881043662982603,-1.039720102781639,large,True,False
markowitz,-77699.01424910594,-3.7051869726172804,-2.357733669054063,0.046121096532612114,-1.491161702055298,large,False,True
60_40,-134387.2025649147,-6.408443106287298,-4.068279051633673,0.003591976274577467,-2.5730055920624326,large,True,True
dqn_sharpe30,-190634.0295943981,-9.090652305139491,-3.2303380262689156,0.01205087843630333,-2.0430451550525217,large,True,True
dqn_sharpe20,-226055.300315517,-10.779765508154803,-7.46780665957782,7.142536908253754e-05,-4.723055634007919,large,False,True
dqn_sharpe70,-326251.79448004137,-15.55777650955681,-9.764510069953912,1.0138186508747045e-05,-6.175618411340888,large,True,True
dqn_sharpe10,-391525.66546202335,-18.67045301841643,-14.225372326933917,5.808593729903947e-07,-8.99691542340812,large,True,True
dqn_sharpe40,-405625.8702543962,-19.342841151172397,-15.145738902550672,3.575058297850069e-07,-9.579006355655828,large,True,True
dqn_sharpe50,-569396.549979107,-27.152476767233747,-11.773374154352405,2.47880351548847e-06,-7.446135614622479,large,False,True
dqn_sharpe80,-604603.8215649447,-28.83138511995774,-7.179958219067919,9.42808131088262e-05,-4.541004295420166,large,False,True
