Agent,Mean,Std,Median,Min,Max,CI_95_Lower,CI_95_Upper,Bankruptcy_Rate,Debt_Free_Rate
dqn_sharpe60,2179726.7156758746,111263.54765126652,2194330.799360492,2022892.179811725,2307497.2656507455,2032865.0838333797,2301876.750438485,0.0,1.0
age_based,2097033.5592597811,55389.98521682456,2072759.5023270906,2053731.0951509962,2190229.7668506233,2054787.6814797278,2181621.8375187498,0.0,1.0
equal_weight,2041676.590788712,51004.016893348664,2020687.6147739617,2003353.809884231,2127894.8363615223,2003968.731395987,2119799.7195175756,0.0,1.0
markowitz,2019334.5450106752,48601.39762368269,2000163.4664530721,1983767.4202561127,2101691.327281507,1984137.9333749716,2093879.9905151546,0.0,1.0
60_40,1962646.3566948664,48865.36528642752,1943274.818156458,1926775.3650875622,2045428.9434335723,1927172.829177476,2037586.314171219,0.0,1.0
dqn_sharpe30,1906399.529665383,119770.62450828897,1960535.9650127362,1732738.806224058,2003322.6746818083,1742678.7369141686,2003316.616141942,0.0,1.0
dqn_sharpe20,1870978.2589442641,38903.83410684481,1854380.7652065163,1840548.6364632645,1932519.5409396612,1840675.0748022574,1927830.5200715635,0.0,1.0
dqn_sharpe70,1770781.7647797398,50137.388354135575,1753593.2993091256,1731747.4548918363,1857172.169636073,1732882.414797346,1848284.837283939,0.0,1.0
dqn_sharpe10,1705507.8937977578,26824.271776571277,1700654.3520890253,1680025.0558116469,1750459.3865212398,1681218.897884188,1745857.1676720977,0.0,1.0
dqn_sharpe40,1691407.689005385,22763.96086394201,1693362.5192491133,1654537.4658872879,1711795.0655527997,1657980.3731961097,1711453.2445337414,0.0,1.0
dqn_sharpe50,1527637.0092806742,92881.01816591043,1502525.744109392,1444333.4428758197,1687608.396876627,1449789.4060043201,1669329.9960270352,0.0,1.0
dqn_sharpe80,1492429.7376948365,179961.58041039912,1527108.6500766752,1273403.3490145719,1707168.346975167,1280787.3899235995,1697173.9707079423,0.0,1.0
